id_piscine,id_ban_choisi_humain,id_ban_assigne_auto,concordance,n_votes,accord
1,49035_0211_00001,49035_0211_00001,true,2,1.00
10,49035_0096_00024,49035_0096_00024,true,1,1.00
100,aucune,nan,false,1,1.00
101,49035_0048_00009,49035_0048_00009,true,1,1.00
102,49035_0045_00014,49035_0045_00014,true,1,1.00
103,49007_5627_00023,49007_5627_00023,true,1,1.00
104,49035_0210_00002,49035_0210_00002,true,1,1.00
105,49035_0210_00014,49035_0210_00014,true,1,1.00
106,49035_0210_00020,49035_0210_00020,true,2,1.00
107,49035_0086_00029,49035_0086_00029,true,1,1.00
108,49035_0086_00027,49035_0086_00027,true,1,1.00
109,49035_0086_00032,49035_0086_00032,true,1,1.00
11,49035_0096_00013,49035_0096_00013,true,1,1.00
110,49035_0086_00033,49035_0086_00033,true,1,1.00
111,49035_vya1gf_00003,49035_vya1gf_00003,true,1,1.00
112,49035_vya1gf_00010,49035_vya1gf_00010,true,1,1.00
113,49035_vya1gf_00014,49035_vya1gf_00014,true,2,1.00
114,49035_0007_00004,49035_0007_00004,true,1,1.00
115,49035_0158_00007,49035_0158_00007,true,1,1.00
116,49035_0158_00001,49035_0158_00001,true,1,1.00
117,49035_0158_00003,49035_0158_00003,true,1,1.00
118,49035_0204_00028,49035_0204_00028,true,1,1.00
119,49035_0204_00011,49035_0204_00011,true,1,1.00
12,49035_0017_00002,49035_0017_00002,true,1,1.00
120,49035_0204_00009,49035_0204_00009,true,1,1.00
121,49035_0203_00004,49035_0203_00004,true,1,1.00
122,49035_0204_00003,49035_0204_00003,true,1,1.00
123,49035_0203_00006_bis,49035_0203_00006_bis,true,1,1.00
124,aucune,49035_0063_00032,false,1,1.00
125,49035_0075_00017,49035_0075_00017,true,1,1.00
126,49035_0018_00010,49035_0018_00010,true,1,1.00
127,49035_0070_00037,49035_0070_00037,true,1,1.00
128,49035_0018_00008,49035_0018_00008,true,1,1.00
129,49035_0137_00043,49035_0137_00043,true,1,1.00
13,49035_0081_00008,49035_0081_00008,true,1,1.00
130,49035_b557_00008,49035_b557_00008,true,1,1.00
131,49035_0137_00102,49035_0137_00102,true,1,1.00
132,49035_b557_00012,49035_b557_00009,false,1,1.00
134,49035_0210_00024,49035_0210_00024,true,1,1.00
135,49035_0210_00038,49035_0210_00038,true,1,1.00
136,49035_0210_00044,49035_0210_00044,true,1,1.00
137,49035_0210_00055,49035_0210_00055,true,1,1.00
138,49035_0210_00050,49035_0210_00050,true,1,1.00
139,49035_0210_00054,49035_0210_00054,true,1,1.00
14,49035_0081_00004,49035_0081_00004,true,1,1.00
140,49035_0156_00014,49035_0156_00014,true,1,1.00
141,49035_0157_00003,49035_0157_00003,true,1,1.00
142,49035_0156_00030,49035_0156_00030,true,1,1.00
143,49035_0157_00002,49035_0157_00002,true,1,1.00
144,49035_0007_00001_bis,49035_0007_00001_bis,true,1,1.00
145,49035_0157_00015,49035_0157_00015,true,1,1.00
146,49035_0157_00013,49035_0157_00013,true,2,1.00
147,49035_0157_00036,49035_0157_00036,true,1,1.00
148,49035_0099_00001,49035_0099_00001,true,1,1.00
149,49035_0160_00007,49035_0160_00007,true,1,1.00
150,49035_0099_00007,49035_0099_00007,true,1,1.00
151,49035_0007_00010,49035_0007_00010,true,1,1.00
152,49035_0157_00028,49035_0159_00016,false,1,1.00
153,49035_0159_00016,49035_0159_00016,true,1,1.00
154,49035_0069_00015,49035_0069_00015,true,1,1.00
155,49035_0302_00011,49035_0302_00011,true,2,1.00
156,49035_0127_00002,49035_0127_00002,true,1,1.00
157,49035_0203_00010,49035_0203_00010,true,1,1.00
158,49035_0155_00008,49035_0155_00008,true,1,1.00
159,49035_0028_00006,49035_0028_00006,true,1,1.00
16,49035_0096_00003,49035_0096_00003,true,1,1.00
160,49035_0155_00003,49035_0155_00003,true,1,1.00
161,49035_0155_00003,49035_0155_00003,true,1,1.00
162,49035_b557_00022,49035_b557_00022,true,1,1.00
163,49035_0155_00023,49035_0155_00023,true,1,1.00
164,49035_0086_00012,49035_0086_00012,true,1,1.00
165,49035_0004_00005,49035_0004_00005,true,1,1.00
166,49035_b557_00010,49035_b557_00009,false,1,1.00
167,49035_0119_00020,49035_0119_00020,true,1,1.00
