id_detection,decision,n_votes,accord
pisc_001682b595e6,non,2,1.00
pisc_001b8a8f3345,non,2,1.00
pisc_00495b9c471f,non,2,1.00
pisc_0050b6e84d71,non,2,1.00
pisc_00b83edab930,oui,2,1.00
pisc_00cdc78c8c29,oui,2,1.00
pisc_00e228a4d40b,non,2,1.00
pisc_00e31cbafe56,non,2,1.00
pisc_00f03f82d5e5,non,2,1.00
pisc_01669856687f,oui,2,1.00
pisc_0176a4b71352,incertain,2,0.50
pisc_0188cc2abce9,oui,2,1.00
pisc_027ea3e46058,oui,2,1.00
pisc_0282ae942adf,oui,2,1.00
pisc_033d62da0912,non,2,1.00
pisc_03ad9d39a4b2,non,2,1.00
pisc_03b4e69a4c13,non,2,1.00
pisc_03c171e087ed,non,2,1.00
pisc_0401bd5ca91b,oui,2,1.00
pisc_040c385dbc3e,non,2,1.00
pisc_045151c7053d,non,2,1.00
pisc_055d0d80ee7e,non,2,1.00
pisc_055e9eca05ff,non,2,1.00
pisc_05a3b339302d,oui,2,1.00
pisc_05a8670fb5c1,oui,2,1.00
pisc_05c4e5d81d31,non,2,1.00
pisc_05dbcaee1095,non,2,1.00
pisc_0603d6adbbd9,oui,2,1.00
pisc_068799181a86,non,2,1.00
pisc_06adf90a36a4,non,2,1.00
pisc_06befa30ca8d,non,2,1.00
pisc_06dc5774f198,oui,2,1.00
pisc_0706818402e2,non,2,1.00
pisc_074871cd7639,oui,2,1.00
pisc_076cee5e0b12,non,2,1.00
pisc_07a5ebbccdb0,non,2,1.00
pisc_080136a7f107,oui,2,1.00
pisc_080bb5903246,non,2,1.00
pisc_086e1546ce0d,non,2,1.00
pisc_088583c8d7f0,non,2,1.00
pisc_08ca5c45d3a9,oui,2,1.00
pisc_093b6abc3c92,non,2,1.00
pisc_0947f3c14188,non,2,1.00
pisc_096db46d492d,non,2,1.00
pisc_0a1528c0be5e,oui,2,1.00
pisc_0a328d597c13,non,2,1.00
pisc_0a68a454b53b,non,2,1.00
pisc_0ab6f08d3c3e,non,2,1.00
pisc_0b04cd5b5193,oui,2,1.00
pisc_0b0c01468d90,oui,2,1.00
pisc_0b16eea10274,non,2,1.00
pisc_0ba45ea36fea,non,2,1.00
pisc_0bb1998138ca,oui,2,1.00
pisc_0c33d83f29b1,non,2,1.00
pisc_0c6323f795e4,non,2,1.00
pisc_0c6ffed0ade7,incertain,2,0.50
pisc_0cc21c510205,oui,2,1.00
pisc_0ce4172945c3,non,2,1.00
pisc_0d4a12767643,non,2,1.00
pisc_0de2ea3c3b2f,non,2,1.00
pisc_0e0d8462c149,incertain,2,0.50
pisc_0e7113a5459e,oui,2,1.00
pisc_0ef58a570b9b,non,2,1.00
pisc_0f07eee0161a,non,2,1.00
pisc_0f4763cea3fe,oui,2,1.00
pisc_0f65442c01a2,non,2,1.00
pisc_0f6ccdcafc72,non,2,1.00
pisc_108e9537cee1,oui,2,1.00
pisc_11021943be2f,non,2,1.00
pisc_111f87ea2436,oui,2,1.00
pisc_117730a877d4,non,2,1.00
pisc_1188cf5b56a0,oui,2,1.00
pisc_1189c67d7c70,non,2,1.00
pisc_11963f3a6234,oui,2,1.00
pisc_11b28bd11aba,non,2,1.00
pisc_120f572410d5,oui,2,1.00
pisc_122a24f30ce5,non,2,1.00
pisc_12b36835a6e5,oui,2,1.00
pisc_12b683953213,oui,2,1.00
pisc_12d59df74444,non,2,1.00
pisc_12d9454c9c97,non,2,1.00
pisc_13289734b53d,non,2,1.00
pisc_13720776f6e1,oui,2,1.00
pisc_139d89aca353,non,2,1.00
pisc_13a258398207,non,2,1.00
pisc_1462286d41f4,non,2,1.00
pisc_149503742b37,oui,2,1.00
pisc_14b32702d76b,non,2,1.00
pisc_150744fb9cbc,non,2,1.00
pisc_155fe5b161ea,non,2,1.00
pisc_1589dc299333,non,2,1.00
pisc_15b721e7b0cc,non,2,1.00
pisc_15bcddeaeb1a,non,2,1.00
pisc_15bf6efe9820,non,2,1.00
pisc_1605276b84c7,non,2,1.00
pisc_1668b3213220,non,2,1.00
pisc_167597910f30,non,2,1.00
pisc_1692ca358d36,non,2,1.00
pisc_16fbf9e34c4c,non,2,1.00
pisc_17605baf1c20,non,2,1.00
pisc_1795b00820f1,non,2,1.00
pisc_17b199e5287c,non,2,1.00
pisc_1879289b5a8a,oui,2,1.00
pisc_187d3e46602c,non,2,1.00
pisc_18ac6c630629,oui,2,1.00
