id_piscine,id_ban_choisi_humain,id_ban_assigne_auto,concordance
1,49035_0211_00001,49035_0211_00001,true
3,49035_0096_00050,49035_0096_00050,true
4,49035_0109_00001_bis,49035_0096_00048,false
5,49035_0203_00006_ter,49035_0096_00038,false
7,49035_0096_00027,49035_0096_00027,true
9,49035_0096_00014,49035_0096_00014,true
12,49035_0017_00002,49035_0017_00002,true
28,49035_0209_00004,49035_0209_00004,true
34,49035_0056_00038,49035_0056_00038,true
38,49035_0150_00003,49035_0150_00003,true
41,49035_0150_00006,49035_0150_00006,true
50,49035_0110_00034,49035_0110_00034,true
52,49035_0110_00006,49035_0042_00016,false
55,49035_0062_00012_bis,49035_0062_00012_bis,true
60,49035_0074_00002,49035_0074_00002,true
63,49035_0102_00008_bis,49035_0102_00008_bis,true
64,49035_0085_00002_ter,49035_0085_00002_ter,true
68,49035_0085_00002,49035_0085_00002,true
78,49035_0146_00021,49035_0146_00021,true
83,49035_0131_00002,49035_0131_00002,true
85,49035_0057_00015,49035_0057_00015,true
88,49035_0131_00020,49035_0131_00020,true
90,49035_0146_00050,49035_0116_00021,false
93,49035_0048_00010_bis,49035_0048_00010_bis,true
95,49035_0116_00002_bis,49035_0116_00004,false
97,49035_0045_00008,49035_0045_00008,true
100,aucune,49035_0048_00026,false
102,49035_0045_00014,49035_0045_00014,true
103,49007_5627_00023,49007_5627_00021,false
104,49035_0210_00002,49035_0210_00002,true
106,49035_0210_00020,49035_0210_00018,false
109,49035_0086_00032,49035_0086_00032,true
113,49035_vya1gf_00014,49035_vya1gf_00014,true
123,49035_0203_00006_bis,49035_0203_00006_ter,false
129,49035_0137_00043,49035_0137_00004,false
130,49035_b557_00008,49035_b557_00008,true
137,49035_0210_00055,49035_0210_00055,true
140,49035_0156_00014,49035_0156_00014,true
145,49035_0157_00015,49035_0157_00015,true
146,49035_0157_00013,49035_0157_00013,true
147,49035_0157_00036,49035_0157_00036,true
149,49035_0160_00007,49035_0160_00007,true
151,49035_0007_00010,49035_0007_00010,true
154,49035_0069_00015,49035_0302_00005,false
155,49035_0302_00011,49035_0302_00011,true
164,49035_0086_00012,49035_0086_00012,true
171,49035_0004_00008_bis,49035_0314_00003,false
172,49035_0190_00012,49035_0314_00010,false
173,49035_0121_00005,49035_0121_00005,true
174,49035_0190_00004,49035_0190_00004,true
179,49035_0210_00073,49035_0210_00068,false
180,49035_0205_00006,49035_0038_00088_bis,false
182,49035_0104_00004,49035_0104_00004,true
183,49035_chwmm8_00005,49035_chwmm8_00005,true
186,49035_b559_00001_bis,49035_b559_00001_bis,true
187,49035_0105_00003,49035_0105_00003,true
195,49035_0073_00018,49035_0073_00018,true
205,49035_0109_00009,49035_0109_00007,false
207,49035_0109_00005_bis,49035_0109_00005_bis,true
208,49035_0109_00003,49035_0109_00003,true
209,49035_0109_00001_qua,49035_0109_00001_qua,true
210,49035_0109_00001_bis,49035_0109_00001,false
211,49035_0198_00013,49035_0198_00013,true
217,49035_0025_00019,49035_0025_00019,true
220,49035_0072_00004,49035_0072_00004,true
229,49035_0298_01840,49035_0298_01842,false
231,49035_0109_00002,49035_0109_00002,true
232,49035_0098_00022,49035_0098_00022,true
233,49035_0098_00022,49035_0098_00022,true
